,Role,"April 10, 2019 – April 9, 2020","April 10, 2020 – April 9, 2021","April 10, 2021 – April 9, 2022","April 10, 2022 – April 9, 2023","April 10, 2023 – April 9, 2024",Education,Functional Responsibility,Years of Experience,Company,socio_economic
10,Eng Principal: Program Manager,272.55,279.36,286.35,293.51,300.84,Bachelor's,"Directs all phases of programs from inception through completion. Responsible for coordinating subordinate employee recruitment, selection and training, performance assessment, work assignments, salary, and recognition/disciplinary actions. Responsible for the cost, schedule and technical performance of company programs or subsystems of major programs. Participates in the negotiation of contract and contract changes. Coordinates the preparation of proposals, business plans, proposal work statements and specifications, operating budgets and financial terms/conditions of contract. Acts as primary customer contact for program activities, leading program review sessions with customer to discuss cost, schedule, and technical performance. Establishes design concepts, criteria and engineering efforts for product research, development, integration and test. Develops new business or expands the product line with the customer. Establishes milestones and monitors adherence to master plans and schedules, identifies program problems and obtains solutions, such as allocation of resources or changing contractual specifications. Directs the work of employees assigned to the program from technical, manufacturing and administrative areas.",20,Lockheed Martin,Other than small business
11,Eng Sr. Staff: Software Engineer,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Plans, conducts, and coordinates software development activities. Designs, develops, documents, tests, and debugs software that contains logical and mathematical solutions to business/mission problems or questions in computer language for solutions by means of data processing equipment. Applies the appropriate standards, processes, procedures, and tools throughout the development life cycle. Applies knowledge of computer hardware and software, subject matter to be programmed in business/mission applications, information processing techniques used, and information gathered from system users to develop software. Corrects program errors, prepares operating instructions, compiles documentation of program development, and analyzes system capabilities to resolve questions of program intent, output requirements, input data acquisition, programming techniques, and controls. Ensures software standards are met.",14,Lockheed Martin,Other than small business
12,Eng Sr. Staff: Network Engineer,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Designs and plans network communications systems. Provides specifications and detailed schematics for network architecture. Provides specific detailed information for hardware and software selection, implementation techniques and tools for the most efficient solution to meet business needs, including present and future capacity requirements. Conducts testing of network design. Maintains technical expertise in all areas of network and computer hardware and software interconnection and interfacing, such as routers, multiplexers, firewalls, hubs, bridges, gateways, etc. Evaluates and reports on new communications technologies to enhance capabilities of the network. Certifications: 8570 IAT II",14,Lockheed Martin,Other than small business
13,Eng Sr. Staff: Computer System Security Analyst,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Designs, tests, and implements state-of-the-art secure operating systems, networks, and database products. Conducts risk assessment and provides recommendations for application design. Involved in a wide range of security issues including architectures, firewalls, electronic data traffic, and network access. Uses encryption technology, penetration and vulnerability analysis of various security technologies, and information technology security research. May prepare security reports to regulatory agencies. Certifications: 8570 SAE II",14,Lockheed Martin,Other than small business
14,Eng Sr. Staff: Website Designer,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Designs, develops, troubleshoots, debugs, configures and maintains website(s) for internal and external communications for the company and/or for external customers and clients. Ensures website(s) is available to the desired audience with appropriate links and security. Develops, assesses and communicates website usage and security policies and procedures. Designs web page layout, graphics, color schemes and infrastructure to maintain a cohesive website based on the organization's communications strategies and goals. Researches and evaluates new related technologies.",14,Lockheed Martin,Other than small business
15,Eng Sr. Staff: Systems Engineer,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Performs technical planning, system integration, verification and validation, cost and risk, and supportability and effectiveness analyses for total systems. Analyses are performed at all levels of total system product to include: concept, design, fabrication, test, installation, operation, maintenance and disposal. Ensures the logical and systematic conversion of customer or product requirements into total systems solutions that acknowledge technical, schedule, and cost constraints. Performs functional analysis, timeline analysis, detail trade studies, requirements allocation and interface definition studies to translate customer requirements into hardware and software specifications. For positions that perform IT responsibilities, use E646, Systems Engr-IT.",14,Lockheed Martin,Other than small business
16,Eng Sr. Staff: System Integration/Test Engineer,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Plans, implements, tests, documents, and maintains solutions for the integration and testing of in-house developed and COTS/GOTS components, elements, subsystems and/or systems. Synthesizes customer contractual needs and requirements into system test solutions that acknowledge technical, schedule and cost constraints. Establishes functional and technical specifications and standards, solves hardware/software interface problems, defines input/output parameters, and ensures integration of the entire system or subsystem. Reviews, evaluates and derives requirements for testability, develops and directs preparation and execution of comprehensive test plans, procedures and schedules for complete systems and/or subsystems. Coordinates subsystem and/or system testing activities with programs and other organizations. Performs analysis of test results and prepares comprehensive subsystem and/or system level evaluation reports which verify and validate system performance. Writes discrepancy reports and performs integration regression testing to verify/validate incorporated fixes to software, components, subsystems and systems.",14,Lockheed Martin,Other than small business
17,Eng Sr. Staff: Project Engineer,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Coordinates planning, organization, control, integration and completion of engineering projects within area of assigned responsibility. Plans and formulates engineering program; reviews product design for compliance with engineering principles, company standards, customer contract requirements, and related specifications. Evaluates and approves design changes, specification and drawing releases. Coordinates activities concerned with technical developments, scheduling, and resolving engineering design and test problems.",14,Lockheed Martin,Other than small business
18,Eng Sr. Staff: Database Engineer,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Designs, develops, builds, analyzes, evaluates and installs database management systems to include database modeling and design, relational database architecture, metadata and repository creation and configuration management. Uses data mapping, data mining and data transformational analysis tools to design and develop databases. Determines data storage and optimum storage requirements. Prepares system requirements, source analysis and process analyses and design throughout the database implementation.",14,Lockheed Martin,Other than small business
19,Eng Sr. Staff: Computer Systems Architect,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Designs and defines system architecture for new or existing complex computer systems. Determines systems specifications, input/output processes, and working parameters for hardware/software compatibility and maintenance of system security. Coordinates design of subsystems and integration of total system. Identifies, analyzes, and resolves program support deficiencies. Develops and recommends corrective actions. May provide technical guidance for database administrators and software developers.",14,Lockheed Martin,Other than small business
20,Eng Sr. Staff: Project Management & Planning Operations Representative,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Oversees and manages the operational aspects of ongoing projects and serves as liaison between project management and planning, project team, and line management. Reviews status of projects and budgets; manages schedules and prepares status reports. Assesses project issues and develops resolutions to meet productivity, quality, and client-satisfaction goals and objectives. Develops mechanisms for monitoring project progress and for intervention and problem solving with project managers, line managers, and clients.",14,Lockheed Martin,Other than small business
21,Eng Sr. Staff: Program Manager,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Directs all phases of programs from inception through completion. Responsible for coordinating subordinate employee recruitment, selection and training, performance assessment, work assignments, salary, and recognition/disciplinary actions. Responsible for the cost, schedule and technical performance of company programs or subsystems of major programs. Participates in the negotiation of contract and contract changes. Coordinates the preparation of proposals, business plans, proposal work statements and specifications, operating budgets and financial terms/conditions of contract. Acts as primary customer contact for program activities, leading program review sessions with customer to discuss cost, schedule, and technical performance. Establishes design concepts, criteria and engineering efforts for product research, development, integration and test. Develops new business or expands the product line with the customer. Establishes milestones and monitors adherence to master plans and schedules, identifies program problems and obtains solutions, such as allocation of resources or changing contractual specifications. Directs the work of employees assigned to the program from technical, manufacturing and administrative areas.",14,Lockheed Martin,Other than small business
22,Eng Senior: Software Engineer,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Plans, conducts, and coordinates software development activities. Designs, develops, documents, tests, and debugs software that contains logical and mathematical solutions to business/mission problems or questions in computer language for solutions by means of data processing equipment. Applies the appropriate standards, processes, procedures, and tools throughout the development life cycle. Applies knowledge of computer hardware and software, subject matter to be programmed in business/mission applications, information processing techniques used, and information gathered from system users to develop software. Corrects program errors, prepares operating instructions, compiles documentation of program development, and analyzes system capabilities to resolve questions of program intent, output requirements, input data acquisition, programming techniques, and controls. Ensures software standards are met.",5,Lockheed Martin,Other than small business
23,Eng Senior: Network Engineer,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Designs and plans network communications systems. Provides specifications and detailed schematics for network architecture. Provides specific detailed information for hardware and software selection, implementation techniques and tools for the most efficient solution to meet business needs, including present and future capacity requirements. Conducts testing of network design. Maintains technical expertise in all areas of network and computer hardware and software interconnection and interfacing, such as routers, multiplexers, firewalls, hubs, bridges, gateways, etc. Evaluates and reports on new communications technologies to enhance capabilities of the network. Certifications: 8570 IAT II",5,Lockheed Martin,Other than small business
24,Eng Senior: Computer System Security Analyst,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Designs, tests, and implements state-of-the-art secure operating systems, networks, and database products. Conducts risk assessment and provides recommendations for application design. Involved in a wide range of security issues including architectures, firewalls, electronic data traffic, and network access. Uses encryption technology, penetration and vulnerability analysis of various security technologies, and information technology security research. May prepare security reports to regulatory agencies. Certifications: 8570 SAE II",5,Lockheed Martin,Other than small business
25,Eng Senior: Website Designer,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Designs, develops, troubleshoots, debugs, configures and maintains website(s) for internal and external communications for the company and/or for external customers and clients. Ensures website(s) is available to the desired audience with appropriate links and security. Develops, assesses and communicates website usage and security policies and procedures. Designs web page layout, graphics, color schemes and infrastructure to maintain a cohesive website based on the organization's communications strategies and goals. Researches and evaluates new related technologies.",5,Lockheed Martin,Other than small business
26,Eng Senior: Systems Engineer,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Performs technical planning, system integration, verification and validation, cost and risk, and supportability and effectiveness analyses for total systems. Analyses are performed at all levels of total system product to include: concept, design, fabrication, test, installation, operation, maintenance and disposal. Ensures the logical and systematic conversion of customer or product requirements into total systems solutions that acknowledge technical, schedule, and cost constraints. Performs functional analysis, timeline analysis, detail trade studies, requirements allocation and interface definition studies to translate customer requirements into hardware and software specifications. For positions that perform IT responsibilities, use E646, Systems Engr-IT.",5,Lockheed Martin,Other than small business
27,Eng Senior: System Integration/Test Engineer,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Plans, implements, tests, documents, and maintains solutions for the integration and testing of in-house developed and COTS/GOTS components, elements, subsystems and/or systems. Synthesizes customer contractual needs and requirements into system test solutions that acknowledge technical, schedule and cost constraints. Establishes functional and technical specifications and standards, solves hardware/software interface problems, defines input/output parameters, and ensures integration of the entire system or subsystem. Reviews, evaluates and derives requirements for testability, develops and directs preparation and execution of comprehensive test plans, procedures and schedules for complete systems and/or subsystems. Coordinates subsystem and/or system testing activities with programs and other organizations. Performs analysis of test results and prepares comprehensive subsystem and/or system level evaluation reports which verify and validate system performance. Writes discrepancy reports and performs integration regression testing to verify/validate incorporated fixes to software, components, subsystems and systems.",5,Lockheed Martin,Other than small business
28,Eng Senior: Project Engineer,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Coordinates planning, organization, control, integration and completion of engineering projects within area of assigned responsibility. Plans and formulates engineering program; reviews product design for compliance with engineering principles, company standards, customer contract requirements, and related specifications. Evaluates and approves design changes, specification and drawing releases. Coordinates activities concerned with technical developments, scheduling, and resolving engineering design and test problems.",5,Lockheed Martin,Other than small business
29,Eng Senior: Database Engineer,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Designs, develops, builds, analyzes, evaluates and installs database management systems to include database modeling and design, relational database architecture, metadata and repository creation and configuration management. Uses data mapping, data mining and data transformational analysis tools to design and develop databases. Determines data storage and optimum storage requirements. Prepares system requirements, source analysis and process analyses and design throughout the database implementation.",5,Lockheed Martin,Other than small business
30,Eng Senior: Computer Systems Architect,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Designs and defines system architecture for new or existing complex computer systems. Determines systems specifications, input/output processes, and working parameters for hardware/software compatibility and maintenance of system security. Coordinates design of subsystems and integration of total system. Identifies, analyzes, and resolves program support deficiencies. Develops and recommends corrective actions. May provide technical guidance for database administrators and software developers.",5,Lockheed Martin,Other than small business
31,Eng Senior: Project Management & Planning Operations Representative,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Oversees and manages the operational aspects of ongoing projects and serves as liaison between project management and planning, project team, and line management. Reviews status of projects and budgets; manages schedules and prepares status reports. Assesses project issues and develops resolutions to meet productivity, quality, and client-satisfaction goals and objectives. Develops mechanisms for monitoring project progress and for intervention and problem solving with project managers, line managers, and clients.",5,Lockheed Martin,Other than small business
32,Eng Senior: Program Manager,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Directs all phases of programs from inception through completion. Responsible for coordinating subordinate employee recruitment, selection and training, performance assessment, work assignments, salary, and recognition/disciplinary actions. Responsible for the cost, schedule and technical performance of company programs or subsystems of major programs. Participates in the negotiation of contract and contract changes. Coordinates the preparation of proposals, business plans, proposal work statements and specifications, operating budgets and financial terms/conditions of contract. Acts as primary customer contact for program activities, leading program review sessions with customer to discuss cost, schedule, and technical performance. Establishes design concepts, criteria and engineering efforts for product research, development, integration and test. Develops new business or expands the product line with the customer. Establishes milestones and monitors adherence to master plans and schedules, identifies program problems and obtains solutions, such as allocation of resources or changing contractual specifications. Directs the work of employees assigned to the program from technical, manufacturing and administrative areas.",5,Lockheed Martin,Other than small business
33,Eng Associate: Software Engineer,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Plans, conducts, and coordinates software development activities. Designs, develops, documents, tests, and debugs software that contains logical and mathematical solutions to business/mission problems or questions in computer language for solutions by means of data processing equipment. Applies the appropriate standards, processes, procedures, and tools throughout the development life cycle. Applies knowledge of computer hardware and software, subject matter to be programmed in business/mission applications, information processing techniques used, and information gathered from system users to develop software. Corrects program errors, prepares operating instructions, compiles documentation of program development, and analyzes system capabilities to resolve questions of program intent, output requirements, input data acquisition, programming techniques, and controls. Ensures software standards are met.",0,Lockheed Martin,Other than small business
34,Eng Associate: Network Engineer,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Designs and plans network communications systems. Provides specifications and detailed schematics for network architecture. Provides specific detailed information for hardware and software selection, implementation techniques and tools for the most efficient solution to meet business needs, including present and future capacity requirements. Conducts testing of network design. Maintains technical expertise in all areas of network and computer hardware and software interconnection and interfacing, such as routers, multiplexers, firewalls, hubs, bridges, gateways, etc. Evaluates and reports on new communications technologies to enhance capabilities of the network. Certifications: 8570 IAT II",0,Lockheed Martin,Other than small business
35,Eng Associate: Computer System Security Analyst,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Designs, tests, and implements state-of-the-art secure operating systems, networks, and database products. Conducts risk assessment and provides recommendations for application design. Involved in a wide range of security issues including architectures, firewalls, electronic data traffic, and network access. Uses encryption technology, penetration and vulnerability analysis of various security technologies, and information technology security research. May prepare security reports to regulatory agencies. Certifications: 8570 SAE II",0,Lockheed Martin,Other than small business
36,Eng Associate: Website Designer,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Designs, develops, troubleshoots, debugs, configures and maintains website(s) for internal and external communications for the company and/or for external customers and clients. Ensures website(s) is available to the desired audience with appropriate links and security. Develops, assesses and communicates website usage and security policies and procedures. Designs web page layout, graphics, color schemes and infrastructure to maintain a cohesive website based on the organization's communications strategies and goals. Researches and evaluates new related technologies.",0,Lockheed Martin,Other than small business
37,Eng Associate: Systems Engineer,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Performs technical planning, system integration, verification and validation, cost and risk, and supportability and effectiveness analyses for total systems. Analyses are performed at all levels of total system product to include: concept, design, fabrication, test, installation, operation, maintenance and disposal. Ensures the logical and systematic conversion of customer or product requirements into total systems solutions that acknowledge technical, schedule, and cost constraints. Performs functional analysis, timeline analysis, detail trade studies, requirements allocation and interface definition studies to translate customer requirements into hardware and software specifications. For positions that perform IT responsibilities, use E646, Systems Engr-IT.",0,Lockheed Martin,Other than small business
38,Eng Associate: System Integration/Test Engineer,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Plans, implements, tests, documents, and maintains solutions for the integration and testing of in-house developed and COTS/GOTS components, elements, subsystems and/or systems. Synthesizes customer contractual needs and requirements into system test solutions that acknowledge technical, schedule and cost constraints. Establishes functional and technical specifications and standards, solves hardware/software interface problems, defines input/output parameters, and ensures integration of the entire system or subsystem. Reviews, evaluates and derives requirements for testability, develops and directs preparation and execution of comprehensive test plans, procedures and schedules for complete systems and/or subsystems. Coordinates subsystem and/or system testing activities with programs and other organizations. Performs analysis of test results and prepares comprehensive subsystem and/or system level evaluation reports which verify and validate system performance. Writes discrepancy reports and performs integration regression testing to verify/validate incorporated fixes to software, components, subsystems and systems.",0,Lockheed Martin,Other than small business
39,Eng Associate: Project Engineer,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Coordinates planning, organization, control, integration and completion of engineering projects within area of assigned responsibility. Plans and formulates engineering program; reviews product design for compliance with engineering principles, company standards, customer contract requirements, and related specifications. Evaluates and approves design changes, specification and drawing releases. Coordinates activities concerned with technical developments, scheduling, and resolving engineering design and test problems.",0,Lockheed Martin,Other than small business
40,Eng Associate: Database Engineer,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Designs, develops, builds, analyzes, evaluates and installs database management systems to include database modeling and design, relational database architecture, metadata and repository creation and configuration management. Uses data mapping, data mining and data transformational analysis tools to design and develop databases. Determines data storage and optimum storage requirements. Prepares system requirements, source analysis and process analyses and design throughout the database implementation.",0,Lockheed Martin,Other than small business
41,Eng Associate: Computer Systems Architect,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Designs and defines system architecture for new or existing complex computer systems. Determines systems specifications, input/output processes, and working parameters for hardware/software compatibility and maintenance of system security. Coordinates design of subsystems and integration of total system. Identifies, analyzes, and resolves program support deficiencies. Develops and recommends corrective actions. May provide technical guidance for database administrators and software developers.",0,Lockheed Martin,Other than small business
42,IT Principal: System Administrator,272.55,279.36,286.35,293.51,300.84,Bachelor's,"Maintains smooth operation of multi-user computer systems, including coordination with network administrators. Duties may include setting up administrator and service accounts, maintaining system documentation, tuning system performance, installing system wide software and allocate mass storage space. Interacts with users and evaluates vendor products. Makes recommendations to purchase hardware and software, coordinates installation and provides backup recovery. Develops and monitors policies and standards for allocation related to the use of computing resources. Certifications: 8570 IAT II",20,Lockheed Martin,Other than small business
43,IT Principal: Computer Operations Support Analyst,272.55,279.36,286.35,293.51,300.84,Bachelor's,"Provides support to an enterprise management system. Performs monitoring and management of mainframes, networks and workgroup servers.",20,Lockheed Martin,Other than small business
44,IT Principal: Training & Development Representative,272.55,279.36,286.35,293.51,300.84,Bachelor's,"Designs and delivers programs to train all levels of personnel. Develops tests and visual aids, conducts training classes, and develops criteria for evaluating effectiveness of training activities. Keeps abreast of training and development research: learning theory, motivation theory, and new materials, methods, and techniques. Develops in-house programs and practices to identify developmental needs, including preparing personnel for more responsible positions and increasing effectiveness in present assignments. May evaluate and/or oversee contractors or vendors to develop and/or administer training programs.",20,Lockheed Martin,Other than small business
45,IT Principal: Database Administrator,272.55,279.36,286.35,293.51,300.84,Bachelor's,"Implements and maintains smooth operation and physical design of databases. Reviews database design and integration of systems, provides backup recovery and makes recommendations regarding enhancements and/or improvements. Maintains security and integrity controls. Formulates policies, procedures, and standards relating to database management, and monitors transaction activity and utilization. Responsibilities include: database loading; development and management of operational procedures; environment management; database health (e.g. monitoring, proactive and reactive responses); resource planning; database upgrade planning; backup and recovery strategy planning and implementation; environment transition planning (development, test, stage, production).",20,Lockheed Martin,Other than small business
46,IT Principal: Applications Analyst,272.55,279.36,286.35,293.51,300.84,Bachelor's,Interfaces between systems analysts/programmers and users located in a specialized area to ensure that information technology designs meet the needs of the end users within an organization. Documents product/service requirements and develops test procedures to ensure user requests are carried out. Requires general-logic knowledge of system capabilities without necessarily the ability to program.,20,Lockheed Martin,Other than small business
47,IT Principal: Quality Analyst,272.55,279.36,286.35,293.51,300.84,Bachelor's,"Reviews, analyzes and reports on quality discrepancies related to assembly, process, mechanical, electrical and electro-mechanical systems. Investigates problems and develops disposition and corrective actions for recurring discrepancies. Interfaces with manufacturing, engineering, customer, vendor and subcontractor representatives to determine responsibilities. Recommends corrective actions, dispositions and modifications.",20,Lockheed Martin,Other than small business
48,IT Principal: Computer Systems Analyst,272.55,279.36,286.35,293.51,300.84,Bachelor's,"Designs, develops, programs, installs, implements, conducts research for, and maintains internal data processing computer systems and utilities, and/or for customers on a contract basis. Analyzes internal or external customers' needs, and determines equipment and software requirements for solutions to problems by means of automated systems; develops customized solutions to customer/user problems. Establishes system parameters and formats; ensures hardware/software compatibility; and coordinates and/or modifies user requirements in terms of existing and projected computer capacity and capabilities. May make programming changes as required to adapt or enhance existing or new programs and/or utilities. Maintains supplied software packages for internal users. Analyzes new hardware to determine its need or application in the existing or proposed system; advises on new techniques and estimated costs associated with new or revised programs and utilities, taking into consideration personnel, time, and hardware requirements, and makes trade-off analyses; develops general and detailed documentation describing system specifications and operating instructions; and revises existing systems and procedures to correct deficiencies and maintain more effective data handling, conversion, input/output requirements, and storage.",20,Lockheed Martin,Other than small business
49,IT Sr. Staff: System Administrator,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Maintains smooth operation of multi-user computer systems, including coordination with network administrators. Duties may include setting up administrator and service accounts, maintaining system documentation, tuning system performance, installing system wide software and allocate mass storage space. Interacts with users and evaluates vendor products. Makes recommendations to purchase hardware and software, coordinates installation and provides backup recovery. Develops and monitors policies and standards for allocation related to the use of computing resources. Certifications: 8570 IAT II",14,Lockheed Martin,Other than small business
50,IT Sr. Staff: Computer Operations Support Analyst,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Provides support to an enterprise management system. Performs monitoring and management of mainframes, networks and workgroup servers.",14,Lockheed Martin,Other than small business
51,IT Sr. Staff: Training & Development Representative,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Designs and delivers programs to train all levels of personnel. Develops tests and visual aids, conducts training classes, and develops criteria for evaluating effectiveness of training activities. Keeps abreast of training and development research: learning theory, motivation theory, and new materials, methods, and techniques. Develops in-house programs and practices to identify developmental needs, including preparing personnel for more responsible positions and increasing effectiveness in present assignments. May evaluate and/or oversee contractors or vendors to develop and/or administer training programs.",14,Lockheed Martin,Other than small business
52,IT Sr. Staff: Database Administrator,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Implements and maintains smooth operation and physical design of databases. Reviews database design and integration of systems, provides backup recovery and makes recommendations regarding enhancements and/or improvements. Maintains security and integrity controls. Formulates policies, procedures, and standards relating to database management, and monitors transaction activity and utilization. Responsibilities include: database loading; development and management of operational procedures; environment management; database health (e.g. monitoring, proactive and reactive responses); resource planning; database upgrade planning; backup and recovery strategy planning and implementation; environment transition planning (development, test, stage, production).",14,Lockheed Martin,Other than small business
53,IT Sr. Staff: Applications Analyst,201.26,206.29,211.45,216.74,222.15,Bachelor's,Interfaces between systems analysts/programmers and users located in a specialized area to ensure that information technology designs meet the needs of the end users within an organization. Documents product/service requirements and develops test procedures to ensure user requests are carried out. Requires general-logic knowledge of system capabilities without necessarily the ability to program.,14,Lockheed Martin,Other than small business
54,IT Sr. Staff: Quality Analyst,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Reviews, analyzes and reports on quality discrepancies related to assembly, process, mechanical, electrical and electro-mechanical systems. Investigates problems and develops disposition and corrective actions for recurring discrepancies. Interfaces with manufacturing, engineering, customer, vendor and subcontractor representatives to determine responsibilities. Recommends corrective actions, dispositions and modifications.",14,Lockheed Martin,Other than small business
